Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
-0.1311,-0.2682,-0.1756,0.037,-0.0714,,,-0.2575,,,-0.0417,0.0174,0.0342,,,-0.0833,0.0331,,0.121,0.0719,0.0604,,,0.156,,-0.3298,-0.0053,-0.0106,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-0.3941,,,,,,,,,,,,,0.2959,,-0.6777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.2712,,,,,,,,,,,-0.2517,0.0227,,,,-0.2031,,0.0606,,,,,,,,,,,,0.0146,,,,-0.0761
,,,-0.2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.6127,2.0645,,,,,-0.1692,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.0094,,,0.352,-0.0207,,,0.3962,0.0427,,,-0.112,,,,,,,,,0.0645,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1034,,,,,,
,,,,,,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,
,-0.1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.2895,,,,-0.0417,,,,-0.0233,,0.1478,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.098,,,,,,,,,,,,-0.0056,,,,,,,,-0.0803,,,0.0538,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1527,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1345,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0056,,,,0.566,,,,-0.0975,,,,,,,,-0.0606
,,,,,,,,,,,,-0.1207,,,,,-0.1667,,,,,,,,,,,,,,,0.0036,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.4783,,,,,,,,0.8542,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2059,,,0.0808,,,,,,0.1375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.3221,,,,-0.1047,,,,,,,,,,,,0.1201,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0055
,,,,,,,,,,,,,,,0.0714,,,,,-0.1365,,,0.2174,,,,,,,,,,,,
-0.5283,,,,0.8194,,,,,,,-0.0052,,,0.0417,0.1067,,,0.0703,,,,,,,,0.1,,,,-0.0596,,,,-0.2676,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0435,
,,,,,,,,,,,,-0.0769,,,,0.0741,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3333,,,,,,-0.0277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.2009,,,,0.0348,,0.0236,,-0.0045,,,,,,,,,,,-0.1709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0714,,,,,
