Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2037,0.0038,,,,,
,,,,,0.1058,,-0.2575,,-0.0244,,0.0174,,-0.5041,0.1,-0.0833,0.0331,-0.008,,0.0719,0.0604,0.3797,,0.156,0.119,-0.3298,-0.0053,-0.0106,-0.0968,-0.119,-0.0405,-0.0704,0.2803,0.0947,0.0649,0.1168
,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-0.0449,,,,,,0.0024,0.0146,0.6827,0.0214,0.0476,-0.0761
-0.2074,0.0748,,,0.0673,0.2959,,,0.0577,-0.0636,,,-0.1643,-0.0787,-0.0213,-0.1589,0.3333,0.0139,-0.0164,,-0.0786,-0.064,,,-0.2362,,,,-0.0227,,,,0.0279,,,
,,-0.4693,,,,,,,,-0.0781,0.1695,-0.1522,,-0.0917,0.0404,,,0.08,-0.0185,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.5989,,,,,,,,,
,,,,0.6127,2.0645,0.883,-0.2795,0.0086,-0.606,-0.1692,0.0418,,-0.2941,,-0.0518,1.5246,-0.4307,-0.0532,0.3133,0.2232,-0.0325,0.0181,,0.0328,0.1565,,-0.0397,,,,-0.1342,,,,-0.1374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1584,0.0171,0.0714,,0.0081,0.02,0.0588,0.2074,-0.0644,0.1213,0.0234,0.12,,-0.0253,-0.0909,,,0.125,0.0833
,,,,,,,,,,,,-0.0823,-0.0094,0.1952,,0.352,-0.0207,0.1239,,0.3962,0.0427,-0.0082,,-0.112,0.0721,0.0168,,0.0164,-0.0161,0.1721,,-0.2051,0.0645,-0.0152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.12,-0.1263,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.1034,-0.0974,0.0795,0.0184,-0.031,,,0.1804,-0.0415,0.1054,,0.4516,0.0222,-0.3652,,-0.0766,0.0098,0.1353,-0.0064,0.1135,0.0288,0.2617,,0.0821,0.0207,-0.0365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.098,,,,,,,,,,,,,,,,0.0072,,,,-0.0803,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.0789,,-0.1877,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0056,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0808,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.1728,,-0.3221,0.099,,0.1242,,,,,,,,,,,,,,,0.1559,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0154,0.1316,0.1857,0.2358,-0.0229,0.2031,0.2922,0.1357,-0.0619,-0.2736,-0.1429,-0.1061,-0.2068,,,,,-0.0894
,,,,,,,,,,-0.0583,,,,0.1679,,0.0056,,,0.1603,,,0.2045,,0.1066,-0.063,0.2846,,0.1243,-0.0105,0.0346,-0.036,0.3333,0.12,-0.0179,-0.0055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2319,,,
,,,,,,,,,,,,,,0.0417,,,,,,,,,,,,0.1,,,0.3056,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.2911,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2949,-0.0021,,,,
,,,,,,,,,,0.0063,,-0.1571,,,,-0.2009,,,,,,0.0236,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.1565,,,,,,-0.2638,,,,,,,,,,,,0.1259,,,-0.1259,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.175,0.7273,,-0.007,-0.0883,0.0775,,,,-0.0705,,,,0.1901,,,,,,,
-0.3571,-0.127,,,0.3084,,,,,,,,,,,,,,,,,,,,0.0899,0.1569,-0.0435,,,-0.2614,-0.0308,,0.2182,0.3284,-0.0843,0.038
,,,,,,,,,,,0.6644,,,,,,,,,,,,,,,,,,,,,,,,
-0.5719,-0.2384,-0.4832,,,,,,,,-0.0916,,-0.0853,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.1118,0.6765,,,,,,,,,,,,,,0.4776,,,,,,,,,,,,0.6434,-0.1617,0.0165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.0769,,,,,,0.4275,,0.4198,1.043,-0.4526,-0.1106,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.2105,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.0141,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.075,,,,,,,,,,,,,,,,-0.0508,,,,0.1058
,,,,,,,,,,,,,,,0.1772,,,0.0215,0.1158,,,,,,,0.0122,,,,,,,,,
,,,,,,,,,,,,,,,,,0.2755,,,,,,,,,,,,,,-0.2747,,,,1.0766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-0.1714,,,,0.037,,,,0.0435,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0081,,,,,,,,-0.1204,,,,,,,,,,,,,,,0.0341,0.3679,,,,0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2357,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.1772,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2137,-0.0493,-0.1333,,-0.0565,-0.3487,0.3255,,,-0.2734,,,,,,,,,0.0764,,0.1525,-0.1882,,,0.4382,0.5542,-0.0987,-0.0015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.0413,0.1579,-0.2562,,,,,-0.5101,,,,,,0.6667,,,,,,,,,,,,
-0.4281,,,,,,,,,,,,,,,,,,,,,0.2475,,,,,,,,0.0473,0.4194,,0.1489,0.4037,0.2058,
,,,,,0.1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.1868,-0.348,-0.114,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.1111,,,,,,,,,,,,,,,,,,,,,,,,-0.1747
,,,,,,,,0.1825,-0.0738,,,,0.0147,,,,,,0.2828,-0.2419,,0.1194,,,-0.1089,,0.098,0.1446,0.0484,0.3718,0.1495,0.3171,-0.2531,-0.0347,-0.0497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3064,,,,,,,,-0.0529,-0.1238,-0.0554,0.0205,-0.1379,-0.3367,0.1357,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0615,,,,,0.0569,,,,,,,,,,,-0.0286,,,,0.7875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0291,0.1698,-0.121,-0.344,0.035,-0.027,0.0417,0.7867,0.0821,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0545,0.1154,0.1638,-0.0148,-0.1805,-0.0092,-0.2407,0.0866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5086,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.2075,-0.0714,-0.2077,-0.1327,0.1381,0.1475,0.0486,-0.1008,0.0242,0.2367,0.0861,0.033,-0.0618,0.125,0.1111,0.1909,0.0611,-0.2374,-0.0189,0.0096,0.1048,-0.0086,0.1826,0.2721,0.0728,-0.2188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.1006,,,0.0294,-0.0104,,,-0.1337,0.0309,,,0.0644,-0.1649,,,0.2963,0.1214,0.0064,,-0.0759,,,,,,,,,,,0.0161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.6257,,-0.05,,1.4251,0.7531,-0.0563,,-0.5597,-0.1484,0.0076,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1719,,0.0085,0.1324,0.704,0.0146,,,,,,,-0.0513,,,,0.0458,,,
,-0.1919,,-0.15,0.1529,0.6837,0.5303,-0.2129,,-0.1867,-0.1148,,-0.066,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.235,0.2778,-0.0537,-0.0595,-0.0172,,0.1587,0.0137,-0.2189,,,,,,,,,,,,,,0.3343,-0.0418,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.0389,0.0377,-0.1169,,-0.0596,0.0317,0.1911,,,0.0739,,,,-0.0125,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1781,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2899,,,0.4031,0.2806,,0.0625,0.0147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-0.0272,,,,,,0.8675,-0.0532,0.4607,,0.0734,0.0731,,,0.0614,,0.4,0.1214,0.4395,,-0.0323,0.0083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1806,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0779,-0.3193,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,0.1892,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.5136,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0756
