Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1463,0.2128,,,,,
,,,,,0.2269,,0.0246,,-0.0085,,0.0364,,-0.4779,-0.0169,0.069,0,0.1935,,0.1231,0.1301,0.2485,0.068,0.1727,-0.2093,-0.0784,0,-0.0319,-0.1978,-0.0342,-0.0638,0.3561,-0.1508,0.2697,0.0176,
,,,,,,,,,,,,,,,,0,0,0.3736,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-0.1011,,,,,,0.0231,0.4536,0.1121,0.4651,-0.2085,
-0.2679,0.5854,,,0.4859,0.1848,,,-0.0903,0.0925,,,-0.1215,0.0283,-0.1162,0.0727,0.0871,0.1869,-0.1325,,0.08,-0.1264,,,-0.281,,,,-0.0789,,,,-0.0351,,,
,,-0.5626,,,,,0,,,0.0504,0.056,-0.1667,,-0.2148,0.2028,,,0.0505,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.5433,,,,,,,,,
,,,,2.3143,0.7931,0.2019,-0.048,-0.5294,-0.3018,-0.0614,-0.0736,,0.2,,0.3372,0.1304,0,-0.0769,0.5833,0.0211,-0.0232,0.0501,,0.0044,0.2582,,0.0796,0.0082,,,-0.0334,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,0,0.1716,-0.0084,0.0295,,-0.1132,0.0681,0.1753,-0.0102,0.1164,0.0982,0.0279,0.0652,,0,-0.1026,,-0.0324,0.0912,
,,,,,,,,,,0,,0.0547,0.0755,0.0877,,-0.019,0.178,0.011,,0.3626,0,-0.0323,,-0.125,0.0893,-0.0164,,-0.016,0.0081,0.121,,-0.2051,0.0323,0.0141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.0428,-0.0168,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
