Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,0,0,0,0,0,,,0.0346,,,,,,,,0.08,,,,0.0328,-0.0159,,,-0.0686,,,0.0714,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0847,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0781,-0.0373,,,
,,,,0,0,0,0,0,0,-0.2588,0,-0.127,0.0364,-0.1754,0.0851,0.3529,-0.058,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-0.05,0.7368,-0.1061,
,,,,0.8794,0.4171,0.0849,-0.3391,0.0289,-0.0895,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5223,0.0293,0.0813,-0.0977,-0.0375,-0.0736,-0.1682,-0.0225,-0.1667,-0.1034,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,-0.3213,-0.2539,-0.4496,-0.2901,0.2043,0.1071,-0.0242,-0.5041,-0.2667,0.8636,0.4146,-0.3707,0.274,0.2903,-0.3417,,-0.061,-0.0519,,-0.1944,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,,-0.0259,
,,,,0,0,0,0,0,0,,0,,,,,,,0.0192,0.2736,,,,,,,,,,,,,,,,
,,,,0,0,0,0,,,-0.1963,0.0057,-0.3559,-0.2193,-0.2921,,-0.1385,,,0.325,,,0.0638,0.36,,,,,,-0.0621,0.0441,,,,,
,,,,0,0,,0,,,,,,,0.194,-0.1125,,,,,,,,,,,,,,,0.3025,,,,,
,,,,0,0,0,0,,,,-0.1023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,,,-0.4485,,-0.4521,0.225,0,-0.1224,-0.186,0.1714,0.3171,,0.1731,,0,,0.3043,-0.1667,,,-0.0702,,,,-0.068,
,,,,0,0,0,0,0,0,0,0,0,0,0,,,-0.0399,-0.1321,,0.0612,0.2271,,,,0.0701,,,,,,,,,,
,,,,0.3411,0.1957,-0.0455,0,0,-0.2727,-0.07,-0.1183,,0.0304,,-0.1193,,0.0357,-0.069,,,-0.0692,,,0.0811,0.1625,-0.0591,0.2457,,0.0746,0.275,,-0.0949,,,
,,,,0,0,0.1132,-0.2994,-0.1129,-0.4127,-0.1579,-0.1544,,0.0611,-0.3669,,,0.0996,-0.2302,,0.375,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1152,-0.0047,,0.05,0.4714,-0.1424,
,,,,0,0,0,,,,,,,,,,0.2603,,,,,,,,,,,,,,,,,,-0.2922,
,,,,,0,,0.1655,,-0.1815,-0.1584,0.4247,0.0151,-0.0112,-0.2556,0.2222,,-0.0637,-0.0366,0.087,,,,0.0233,-0.1534,-0.0067,,,,-0.0103,-0.0466,-0.0326,0,-0.0225,-0.0747,
,,,,0,0,0,,,,,0.1351,,,,,,,-0.3061,,0.0806,0.0299,0.3043,0.5556,-0.1214,0.0732,-0.2121,-0.0385,,,,-0.0498,,0.1381,,
,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0725,
,,,,,0,0.1262,-0.15,,,,-0.1289,,-0.0105,-0.0957,,,0.0929,,,,,0.0541,0.3077,,,,,,0.0345,0,-0.0273,,,,
,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.0935,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
,,,,0.6454,0.2718,-0.1603,-0.0182,0.1111,-0.1733,-0.3427,-0.0859,,,,0,,,,,,,,,,,,,,-0.2972,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0078,-0.0308,0.0079,,-0.1579,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.271,-0.118,,-0.3,0.3727,
,,,,,0.4309,0.2415,-0.0526,,,,,,0,-0.2778,0.1868,,,-0.0625,,,,,,,,,,0.1837,,,,,,,
,,,,0,0,0.2164,-0.2548,0.3677,-0.3491,-0.0797,-0.1339,-0.2273,-0.0471,-0.2099,0.3125,0.0476,,,,,,,0.5814,,,,,,,,,,,,
,,,,0.1553,0.2269,-0.1644,0.0246,,,,,,,,,,,,,0.1301,,,,,,,,,,,,-0.1508,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,-0.2237,-0.2203,,,,,,,,
,,,,0.3983,0.2909,0.0798,-0.1174,0.202,,,,,,,0.0526,,,,,,,0.2909,,,,0,,,,,,,,,
,,,,0,,,-0.3218,,,,-0.1399,-0.4169,0.1105,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0.6129,-0.1067,0.0896,-0.1849,-0.1891,0.0259,-0.3586,-0.622,-0.2917,0.6765,-0.193,-0.1739,0.2368,0.234,0.3448,0.3846,0.1204,-0.1322,-0.1619,,0.3382,,,,,
,,,,0.455,0.1364,-0.12,-0.1182,-0.1546,-0.1073,-0.1339,-0.2366,-0.2314,0.4086,-0.1603,0.6909,-0.2339,-0.1158,0.131,-0.0211,0.0968,,0.1282,0.0114,-0.1011,,,0.0166,,,,,,,,
,,,,0.4859,0.1848,-0.24,-0.1553,-0.0903,0.0925,0.1034,0.0284,-0.1215,0.0283,-0.1162,0.0727,0.0871,0.1869,-0.1325,0.2248,0.08,-0.1264,0.0349,0.0892,-0.281,,,,-0.0789,,,,,,,
,,,,0.8542,0.4157,-0.0476,0,0.025,-0.0325,0.0504,0.056,-0.1667,-0.0182,-0.2148,0.2028,-0.0216,,,,,,,,,,,,,,,,,,,
,,,,0.9255,0.0497,0.6263,,0.2152,-0.4167,-0.3,,,0.1467,,,,,,,,,,,-0.0694,0.3066,0.5433,,,,,,,,,
,,,,,0.7931,0.2019,-0.048,,,,-0.0736,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,,,,-0.2797,,,,,,,,,,,,,,,,,,,,,,,0.3784,
,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,,-0.2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,,,,,0.0714,-0.2833,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,,-0.0691,-0.0743,-0.0428,-0.0168,-0.0511,-0.0898,0,,,0.0317,-0.0308,,,,,,,,,,,0.4219,,,,
,,,,0.413,0.3385,-0.3161,-0.1261,0.1442,-0.0252,,-0.0323,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,,0,0.0513,-0.1,-0.0244,0.0833,-0.0385,0.0053,-0.0451,0.025,-0.0108,0.0548,0.039,0.3,0.3558,-0.0496,-0.3642,0.1573,-0.2231,0.1279,0.088,0.0362,0.1088,-0.0185,0.1698,0.0806,0.0821,0.0414,-0.0212,
,,,,0,0,0,0,,,,-0.1977,,,,,,,,,,,0.4512,0.3613,,,,,,,,,,,,
,,,,0.6406,0.2381,-0.0769,0.225,0.8027,,-0.3933,-0.269,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421,0.033,0,-0.0213,0.0652,0.0816,-0.0443,
,,,,0,0,0,-0.0086,-0.1429,-0.1465,-0.1657,0.0496,0.0068,0.0201,-0.1513,0.3876,,-0.1202,,0.0979,,,-0.0952,0.0451,,,-0.125,0.1786,,,,-0.0095,,,-0.1563,
,,,,0,0,0,0,0,0,,-0.1059,,,,0.1027,,,,,,,,,,,,,,,,0.0594,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0.4348,-0.3636,,,-0.1942,-0.0667,,,-0.0201,0.4821,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.1059,-0.3017,,,,,-0.2289,,,-0.0192,,,
,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,-0.1534,,,,,,,,,,,,,,
,,,,0,0,,0,,,,0.2015,,,,,,,,,,,,,,,,,,,,0.3532,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0779,0.1972,-0.2118,,0.8621,-0.3259,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0.3729,,,,,,,-0.0714,,,,,-0.1625,-0.0299,,,
,,,,0.5444,0.0935,0.1184,-0.0647,0.0063,-0.1625,,-0.0301,-0.186,,,,0.2294,,,0.04,0.0192,,,0.3857,,,,0,0.0687,-0.0562,,-0.2542,0.1564,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,0.5385,0.3485,-0.1067,-0.0189,,0.1538,-0.0667,-0.2286,-0.1611,0.2252,-0.1153,,-0.1018,-0.1883,-0.1845,0.1315,,-0.0315,0.116,0.3306,,0.2446,-0.1635,0.0146,,-0.0178,0.0928,,-0.1464,0.076,-0.0125,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968,,,,,,,,,,,,,,,,,,
,,,,0,0,0,-0.0726,,,,-0.0524,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.7059,0.319,0.1601,-0.0423,-0.1912,-0.0873,-0.0996,-0.0221,0.0679,0.0424,0.1829,0.0584,0.1266,0.1585,-0.092,-0.1096,-0.1015,-0.1575,-0.0041,0.2653,-0.2452,-0.0128,0.2987,0.2233,-0.2207,-0.0629,0.2127,0.0831,0.4773,,-0.1162,
,,,,1.0317,-0.1094,0.2193,-0.0863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.1739,0.8333,-0.0727,-0.0196,-0.1067,-0.4597,-0.2182,-0.0777,-0.0843,0.0293,-0.3049,0.2807,0.1416,-0.188,-0.2118,0.8625,0.1376,-0.3068,0.3064,0.1498,-0.0765,,-0.096,-0.1125,0.081,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,0.3659,0.1875,0,-0.1203,-0.0085,-0.069,,-0.1196,-0.0617,,,,,,-0.1772,,,,,0.3659,,,0.0738,,,0.0286,-0.0278,0.0571,,,-0.0968,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,-0.2183,,,,,,,,
,,,,0.1827,0.5691,-0.3005,0.1704,-0.019,-0.0258,0.0132,-0.3725,,,-0.3771,0.3004,,,-0.2584,0.4091,,,,0.277,,0.0288,,,-0.1974,-0.1913,,-0.3361,-0.037,-0.1923,-0.0619,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,0,0,0,0,0,-0.2329,0.1607,0.0185,-0.1873,,,,,,,0.1053,-0.0429,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
,,,,,0.287,-0.2014,-0.1802,,,,-0.2754,,,,,,-0.2958,,0.4872,,,,,,-0.0112,,,,,,,,,-0.1326,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.5841,-0.1461,0.2105,,,,-0.2149,,-0.2078,,0,,-0.16,,
,,,,1.1827,-0.1762,-0.2299,-0.1458,,,,-0.2079,,0.08,-0.1667,,,,,,,,,,,,,,,,,,,,,
,,,,1.5522,-0.2222,-0.2895,-0.164,-0.0127,-0.1282,-0.0515,0.031,-0.2256,-0.3301,-0.2754,-0.06,0.1702,-0.2182,-0.1628,0.1667,-0.0952,0.1053,0,0.3571,0.2105,0.1449,0.1646,-0.0217,0.1222,0.0792,0.4679,-0.075,0.9122,,,
,,,,0.8623,0.3346,-0.0204,0.1131,0.0695,0.0375,-0.012,-0.2,-0.1098,-0.0308,-0.2085,0.125,0.4167,-0.6078,-0.1571,0.4068,0.0723,-0.1966,-0.014,0.6028,-0.2478,-0.0647,0.0314,-0.0305,0.5094,-0.35,0.1859,0.0703,,0.433,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,0,0.4768,,,-0.0631,-0.3308,,-0.1887,,0.15,,,0.284,-0.1106,-0.1503,,,-0.0228,,,,,-0.0872,-0.1011,,,,,,-0.0825,,
