Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,SDU,SDU,SDU,SDU,,SDU,,SDU,,SDU,SDU,,,,,,,,,,,,,,,SDU,SDU,,,,,
,,,,SDY,SDY,SDY,SDY,,,,SDY,,,SDY,,,,,,,,,,,,,,,,,,,,,
,,,,SEB,SEB,SEB,SEB,,,,SEB,,,,,,,SEB,,,,,SEB,,,SEB,SEB,,,,,,,,
,,,,SED,SED,SED,SED,,,SED,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SFN,SFN,SFN,SFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SGC,SGC,SGC,,,,SGC,,,SGC,,,,SGC,,,,,,,,,,,,,,,,,
,,,,SGD,SGD,SGD,SGD,,,,SGD,,SGD,SGD,SGD,SGD,SGD,SGD,,SGD,SGD,SGD,SGD,,,SGD,SGD,SGD,SGD,SGD,SGD,,,,
,,,,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,SGH,,SGH,
,,,,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,SGO,,,,,,
,,,,SHB,SHB,SHB,SHB,,SHB,SHB,SHB,SHB,SHB,SHB,SHB,,SHB,,,SHB,,,,,SHB,SHB,SHB,,SHB,SHB,SHB,,,,
,,,,SHN,SHN,SHN,,,SHN,,,,,SHN,SHN,,,SHN,,,,,,,,,,,,,,,,,
,,,,SHS,,SHS,,SHS,SHS,,,SHS,SHS,SHS,,,SHS,SHS,SHS,SHS,SHS,,SHS,SHS,,SHS,,,,SHS,,SHS,,,SHS
,,,,,SIC,SIC,SIC,,,,,,,,,,,,,,,,,,,,,,,,,,,SIC,
