,,,,
,,VNINDEX,HNX Index,
,12_2016,-0.000130620775426581,-0.00275571917781455,
,11_2016,-0.00695082933304614,-0.00863924682265887,
,10_2016,-0.00633496239029166,-0.0142830190922808,
,09_2016,0.00708749998345086,0.00317940466843028,
,08_2016,0.0146648790881149,0.00346217911706447,
,07_2016,0.0135050637645308,-0.00520860517063077,
,06_2016,0.00959813549827837,0.0145960034676731,
,05_2016,0.0143277599690371,0.0066240540910277,
,04_2016,0.0278366720937604,0.00886401527249995,
,03_2016,0.00143396875120825,0.00176162282620804,
,02_2016,0.0111034964300502,0.0103833703727522,
,01_2016,-0.026105391198519,-0.017115904376812,
,12_2015,0.00439488372394987,-0.00351613570675156,
,11_2015,-0.0251471551552269,-0.00864136910632997,
,10_2015,0.0332227324751842,0.023102756038486,
,09_2015,-0.00162563518705089,0.00600119441924399,
,08_2015,-0.0412773193767251,-0.0441562935909401,
,07_2015,0.020042248726809,0.000970376737710785,
,06_2015,0.0175518288924297,0.00883236202171215,
,05_2015,0.00549416933811942,0.00251189218519183,
,04_2015,0.00879126012284651,0.00252650514156205,
,03_2015,-0.0314856088152591,-0.0180939127714569,
,02_2015,0.0122644016444691,0.00106463417816084,
,01_2015,0.0235770182392343,0.0132973454065362,
,12_2014,-0.0163629992493281,-0.0226373716606795,
,11_2014,-0.0254975973767295,-0.00301989970264465,
,10_2014,0.00147704577551937,-0.00295004744804434,
,09_2014,-0.0266189517427445,0.00786186695021746,
,08_2014,0.0286034789275462,0.0406648143559339,
,07_2014,0.0132717583589636,0.00734939175898804,
,06_2014,0.0122737355135469,0.0120354706071291,
,05_2014,-0.0121760678068263,-0.0227688505666114,
,04_2014,-0.0100783032991636,-0.0490937343436832,
,03_2014,0.00375293522166275,0.0318262559932269,
,02_2014,0.022772430040131,0.0491845845363566,
,01_2014,0.0425077109200794,0.0390351107641068,
,12_2013,-0.00270252572085288,0.0173048582084703,
,11_2013,0.00896107912016493,0.0243183509938051,
,10_2013,0.00419365632495534,0.00488892009198115,
,09_2013,0.0179352535106385,-0.00170674324224777,
,08_2013,-0.0172470734221325,-0.00212403984799957,
,07_2013,0.00957023832309802,-0.00887844187025075,
,06_2013,-0.0323941777856123,-0.0126840187667262,
,05_2013,0.0384112458445736,0.0442516704602113,
,04_2013,-0.0148715017447599,-0.0138417680254921,
,03_2013,0.0148257417394594,-0.0163396888048855,
,02_2013,-0.00476006261600074,-0.000416323229104651,
,01_2013,0.0643341787746543,0.0401530202742136,
,12_2012,0.0394320695039281,0.048564296583754,
,11_2012,-0.0120166402330958,-0.0164439769741456,
,10_2012,-0.0046155240495333,-0.0196184424817608,
,09_2012,-0.00380001146804726,-0.0443223494407278,
,08_2012,-0.0197864598426818,-0.0516628152839306,
,07_2012,-0.00818948437275476,-0.0116429848389335,
,06_2012,-0.00696664964209388,-0.0179560292091671,
,05_2012,-0.0429078436269117,-0.0326869612067242,
,04_2012,0.0310994246155271,0.0437921082886796,
,03_2012,0.017471172939892,0.0217069110807604,
,02_2012,0.0381988145396913,0.054429333992349,
,01_2012,0.0428110425543417,0.0134670103097484,
,12_2011,-0.0345843666053559,-0.0126060264191603,
,11_2011,-0.0435145828326812,-0.0648590044287332,
,10_2011,-0.00695164482733063,-0.00693413196766029,
,09_2011,0.00220958479450168,-0.0111186421558477,
,08_2011,0.0206231040379127,0.0221546128301179,
,07_2011,-0.0277811040965069,-0.0292758012178135,
,06_2011,0.0112915805287519,0.0295881309557649,
,05_2011,-0.0566371746970843,-0.0802214728489024,
,04_2011,0.0175365837497581,-0.039214816627432,
,03_2011,-0.000282467965666931,-0.0203975131042153,
,02_2011,-0.0440032202831569,-0.0459385975198898,
,01_2011,0.0226077907454724,-0.0299088992192757,
,12_2010,0.0307190864698289,0.0226368217074613,
,11_2010,-0.00096061636577947,-0.0176646597225996,
,10_2010,-0.0018193379392763,-0.0521344617286876,
,09_2010,-0.000572947948406663,-0.00373662007917899,
,08_2010,-0.0355321906551552,-0.0769771311215406,
,07_2010,-0.011454584386325,-0.0153083432367024,
,06_2010,-0.000256852337838787,-0.0129328012442268,
,05_2010,-0.0289692179732951,-0.0407647777736698,
,04_2010,0.0360451041846393,0.0488025361663116,
,03_2010,0.0020055799288346,-0.00484048396249428,
,02_2010,0.0132219585066832,0.00538166095701173,
,01_2010,-0.0113826527182335,-0.0206216275137487,
,12_2009,-0.00808700648106734,0.0165791427085197,
,11_2009,-0.0661953829395131,-0.0904783052222631,
,10_2009,0.00461070390143493,0.0341998187565631,
,09_2009,0.026272870580444,0.0294921881014379,
,08_2009,0.0686976585224522,0.0770678867342255,
,07_2009,0.0175621085075407,-0.014221008028864,
,06_2009,0.0370933727753963,0.0145222875982846,
,05_2009,0.107159326013982,0.0979661404603778,
,04_2009,0.0590736274419747,0.067835168964584,
,03_2009,0.0577665586966237,0.068790241478665,
,02_2009,-0.0912676664826298,-0.0756234575004767,
,01_2009,-0.017420995075212,-0.0219894648048662,
,12_2008,0.0012125750122169,0.00381763325219988,
,11_2008,-0.0424401082549383,-0.0423767079347196,
,10_2008,-0.119238962868622,-0.111628229241458,
,09_2008,-0.078903799826684,-0.112400123718043,
,08_2008,0.0840117426223935,0.127965980363652,
,07_2008,0.0531150082766073,0.104498505176981,
,06_2008,-0.0156971699676944,-0.0248685513885512,
,05_2008,-0.100864682702645,-0.151492443834208,
,04_2008,0.00460539259546924,-0.0305398110299763,
,03_2008,-0.108345476688823,-0.0996826580791932,
,02_2008,-0.104689048000442,-0.110147564293928,
,01_2008,-0.0406900586363373,-0.0414020812152783,
