No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008,
19,BCI,,-0.0045,-0.0669,0,0.0042,0.1667,0.0355,-0.1005,0.0735,-0.0467,0.0239,-0.1364,0.3596,0.4472,-0.2264,0.0325,0.0845,-0.1886,-0.2325,0.3571,0.1275,-0.1337,-0.1569,-0.1356,-0.1661,-0.3098,-0.2991,0.0734,-0.084,0.1019,0.4026,0,0,0,0,0,
20,BFC,,-0.2476,0.3208,0.1398,0.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,BGM,,-0.1467,-0.3478,-0.1786,0.2174,-0.2333,-0.1176,-0.1707,-0.18,-0.0196,0.186,0.0488,0,0.2424,-0.2326,-0.1569,0.1087,0.0222,-0.3284,0,0.3137,-0.4574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,BHN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,BHS,,-0.0629,-0.1067,-0.0273,-0.0985,0.2848,0.2951,0.1509,-0.0364,-0.0351,-0.0579,-0.032,-0.0602,0.0813,-0.2013,-0.0723,0.044,-0.0536,-0.087,0.011,0.0168,-0.4299,0.1018,-0.0686,-0.1105,0.0118,-0.0029,-0.0145,0.0485,0.0154,0.7857,0.2727,-0.0338,-0.2169,-0.0735,-0.4715,
24,BIC,,0.1513,0.4476,-0.0233,0.1685,-0.2459,0.525,0.0738,0.0956,0.1724,0.0741,-0.2174,0.1795,0.3295,-0.0435,0.0824,0.3281,-0.0588,-0.1807,0.1857,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,BID,,-0.0671,-0.0989,0.0282,-0.1324,-0.1207,0.1485,0.086,0.4646,-0.1477,0.0068,-0.1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,BMC,,0.1,-0.1667,0.0839,-0.1143,0.1589,-0.3136,-0.0795,-0.1525,-0.1323,0.0762,-0.3319,0.0512,0.0386,-0.2541,0.0374,0.2588,-0.1667,0.1751,0.0093,0.558,0.0337,0.2714,0.0145,-0.0548,-0.3423,-0.3596,-0.0877,-0.0806,-0.1948,0.0405,0.5812,-0.3314,-0.5425,1,-0.6232,
27,BMI,,-0.1621,0.1983,-0.0082,0.0167,0.03,0.3706,0.0303,-0.0833,0.1043,0.2538,-0.2308,0.3967,0.0708,-0.0813,0.2424,0.3026,-0.0732,-0.18,0.0417,0.0667,-0.1964,0.009,-0.2183,-0.0897,-0.037,-0.2957,0,-0.0043,-0.3063,0.3008,1.1695,-0.3622,-0.4201,0.302,-0.626,
28,BMP,,0.1963,0.1727,0.0692,0.0569,0.2424,0.3289,-0.0688,0.203,-0.0699,0.0672,-0.1242,0.1007,-0.0479,0.021,0.3241,0.3171,-0.0787,0.1042,0.1888,-0.0635,0.0056,-0.0601,-0.1937,-0.0306,-0.0485,-0.0636,-0.127,-0.475,0.2903,0.7222,1.4658,-0.2369,-0.5295,0.0893,-0.4667,
