No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008,
79,DRC,,-0.1891,-0.2648,0.2097,-0.0334,-0.0239,-0.252,0.0082,0.0796,-0.0174,0.2582,0.0044,0.1432,0.0501,-0.0232,0.0211,0.5833,-0.0769,0,0.1304,0.3372,-0.2456,0.2,-0.4412,-0.0736,-0.0614,-0.3018,-0.5294,-0.048,0.2019,0.7931,2.3143,-0.0278,-0.5973,0.1037,-0.5031,
80,DRH,,0.3784,-0.5871,0.3785,1.9817,0.9123,-0.0172,-0.0169,-0.1194,0.5227,0.375,-0.1795,0.3929,0.6471,-0.0556,-0.1,0,-0.3333,-0.2683,0.1081,-0.075,-0.1667,0.0667,-0.4706,-0.2797,-0.2892,0,0,0,0,0,0,0,0,0,0,
81,DRL,,0.0912,-0.0324,-0.0286,-0.1026,0,-0.0051,0.0652,0.0279,0.0982,0.1164,-0.0102,0.1753,0.0681,-0.1132,0.0861,0.0295,-0.0084,0.1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,DSN,,0.0141,0.0323,-0.2051,0.1223,0.121,0.0081,-0.016,0.0417,-0.0164,0.0893,-0.125,0.0667,-0.0323,0,0.3626,0.2364,0.011,0.178,-0.019,0.2702,0.0877,0.0755,0.0547,-0.2024,0,0,0,0,0,0,0,0,0,0,0,
83,DTA,,-0.2059,-0.2093,0.0238,0.05,-0.3548,0.24,-0.2958,0.1833,0.7647,-0.15,0,0.1429,0.4,-0.3056,-0.027,0.0882,-0.2444,-0.1964,0.3023,0,-0.2833,0.0714,-0.4862,-0.155,-0.4464,0,0,0,0,0,0,0,0,0,0,
84,DTL,,0.8272,0.4464,0.2308,0.4219,-0.2967,-0.0521,0.0323,0.1341,-0.1277,-0.0309,-0.1019,-0.1,-0.04,-0.0079,-0.0308,0.0317,-0.0308,-0.1447,0,-0.0898,-0.0511,-0.0168,-0.0428,-0.0743,-0.0691,0,0,0,0,0,0,0,0,0,0,
85,DTT,,0.0562,-0.2521,0.5455,0.0694,-0.0769,0.0541,-0.2885,0.0947,0.7273,-0.127,0.1455,-0.1406,-0.1351,0.3214,-0.1642,0.1167,0.0169,-0.1806,0.0435,0.0952,0,-0.0735,-0.2444,-0.0323,-0.1983,-0.0252,0.1442,-0.1261,-0.3161,0.3385,0.413,-0.098,-0.2609,-0.0612,-0.3163,
86,DVP,,-0.0212,0.0414,0.0821,0.0806,0.1698,-0.0185,0.1088,0.0362,0.088,0.1279,-0.2231,0.1573,-0.3642,-0.0496,0.3558,0.3,0.039,0.0548,-0.0108,0.025,-0.0451,0.0053,-0.0385,0.0833,-0.0244,-0.1,0.0513,0,0,0,0,0,0,0,0,
87,DXG,,-0.0872,-0.0261,-0.0947,-0.0611,0.1321,-0.0245,-0.1237,0.2318,-0.0848,0.1458,-0.1111,0.3613,0.4512,-0.1633,-0.2097,0.3333,-0.0106,-0.2419,0.4419,-0.2456,-0.377,-0.2009,0.1063,-0.1977,-0.14,-0.6104,0.3276,0,0,0,0,0,0,0,0,
88,DXV,,0.0204,0.225,-0.0244,0.025,-0.0909,0,-0.0435,-0.0213,0.0444,-0.0217,-0.0213,0.1463,0.4138,0.0357,-0.2821,-0.1136,-0.2281,-0.0656,0.2979,0.0217,-0.1481,-0.0526,-0.4623,-0.269,-0.3933,-0.0981,0.8027,0.225,-0.0769,0.2381,0.6406,-0.0986,-0.3983,0.1028,-0.6298,
89,E1VFVN30,,-0.0443,0.0816,0.0652,-0.0213,0,0.033,-0.0421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,EIB,,-0.1563,-0.1385,0.25,-0.0095,-0.0948,-0.1407,0.0227,0.1786,-0.125,-0.0303,-0.0504,0.0451,-0.0952,-0.0134,-0.051,0.0979,-0.1118,-0.1202,0.0223,0.3876,-0.1513,0.0201,0.0068,0.0496,-0.1657,-0.1465,-0.1429,-0.0086,0,0,0,0,0,0,0,
91,ELC,,0.1695,0.0129,0.0043,0.0594,0.3602,-0.0529,0.1111,0.1504,-0.0952,-0.16,-0.0691,0.0162,-0.2292,0.0909,-0.12,-0.0272,0.0533,-0.0792,0.0729,0.1027,-0.2195,0.0474,-0.3507,-0.1059,0,0,0,0,0,0,0,0,0,0,0,
92,EMC,,-0.2263,0.2455,-0.127,0.1776,0.0808,0.4348,0.0781,0,0.0323,0.4091,-0.1538,-0.0714,0.0566,-0.2429,0.0448,-0.2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,EVE,,-0.0878,-0.4787,0.4329,0.312,0.1521,-0.1933,0.0113,0.0514,-0.0453,0.0643,-0.0604,-0.083,0.4821,-0.0201,-0.1156,0.2363,-0.0667,-0.1942,-0.0763,0.2476,-0.3636,0.4348,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,ROS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,FCM,,0.3333,-0.1176,-0.0192,-0.1746,-0.0156,-0.2289,-0.1531,-0.216,-0.0458,0.048,-0.3017,1.1059,-0.15,-0.2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,FCN,,-0.1005,0.0288,-0.0048,0.0347,0.0254,-0.1045,0.0185,-0.0526,-0.0806,0.0783,-0.1986,0.64,0.1745,-0.1534,0.0353,-0.0395,-0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,FDC,,-0.0438,-0.042,-0.0368,0.3532,-0.0864,0.2644,-0.0333,-0.1743,-0.1315,0.3211,-0.3559,0.4899,0.1,-0.1,0.0526,-0.2276,0.1884,-0.1619,-0.1018,-0.0036,-0.0143,0.0728,-0.1741,0.2015,-0.1461,-0.0096,-0.0826,0,0,0,0,0,0,0,0,
98,FIT,,-0.115,-0.0909,-0.1852,-0.1563,-0.0303,-0.2929,-0.2308,-0.3259,0.8621,0.0821,-0.2118,0.1972,-0.0779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,FLC,,0.0926,-0.1692,-0.0299,-0.1625,0.194,-0.2717,-0.1636,-0.0598,-0.0714,0.1351,-0.1048,0.7222,0.5,-0.3333,-0.1111,0.3729,-0.1324,-0.575,-0.6226,1.7179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,FMC,,-0.1535,0.1014,0.1564,-0.2542,0.0213,-0.0562,0.0687,0,-0.1038,0.6561,-0.1907,0.3857,0.2174,0.0849,0.0192,0.04,0,-0.2537,0.2294,0.0187,-0.0776,0.1048,-0.186,-0.0301,-0.0075,-0.1625,0.0063,-0.0647,0.1184,0.0935,0.5444,-0.2437,-0.1678,-0.1686,-0.5326,
101,FTM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,FPT,,-0.0125,0.076,-0.1464,-0.0104,0.0928,-0.0178,-0.0779,0.0146,-0.1635,0.2446,-0.2781,0.3306,0.116,-0.0315,0.2027,0.1315,-0.1845,-0.1883,-0.1018,0.1202,-0.1153,0.2252,-0.1611,-0.2286,-0.0667,0.1538,-0.1667,-0.0189,-0.1067,0.3485,0.5385,-0.1505,-0.5826,0.9675,-0.5638,
103,FTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,GAS,,-0.0016,0.0667,0.4052,0.0364,-0.1592,-0.216,-0.2089,-0.0814,-0.3065,0.2718,0.1747,0.2969,0,0.0579,0.3152,0.1856,-0.049,0.0968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,GDT,,-0.0678,0.18,0.2658,0.0154,0.0958,-0.1256,0.1215,-0.0216,0.3121,0.0368,0.088,0.0081,0.4091,-0.0383,0.1159,0.1884,0,-0.2069,0.0741,0.102,0.073,0.0224,-0.2597,-0.0524,-0.0205,-0.1176,-0.0391,-0.0726,0,0,0,0,0,0,0,
106,GIL,,-0.1162,0.125,0.4773,0.0831,0.2127,-0.0629,-0.2207,0.2233,0.2987,-0.0128,-0.2452,0.2653,-0.0041,-0.1575,-0.1015,-0.1096,-0.092,0.1585,0.1266,0.0584,0.1829,0.0424,0.0679,-0.0221,-0.0996,-0.0873,-0.1912,-0.0423,0.1601,0.319,0.7059,-0.0811,-0.3859,0.2423,-0.4611,
107,GMC,,-0.2597,0.0132,-0.0428,0,-0.198,0.2469,0.0285,-0.0103,0.2871,0.0684,-0.156,0.2043,0.2682,0.1282,0.0317,-0.0053,-0.05,0.1834,0.0242,0.1379,0.0357,-0.0411,-0.1657,-0.0591,-0.1143,-0.16,-0.0157,-0.0863,0.2193,-0.1094,1.0317,-0.1923,-0.2877,0.2959,-0.4735,
108,GMD,,-0.0355,0.0292,-0.3046,0.0678,0.1114,0.0814,0.081,-0.1125,-0.096,0.0859,-0.0765,0.1498,0.3064,-0.3068,0.1376,0.8625,-0.2118,-0.188,0.1416,0.2807,-0.3049,0.0293,-0.0843,-0.0777,-0.2182,-0.4597,-0.1067,-0.0196,-0.0727,0.8333,1.1739,-0.3257,-0.5676,0.4609,-0.4884,
109,GSP,,-0.0441,-0.049,0.0214,-0.0909,0.1667,0.056,0.0163,-0.0315,0.0242,0.1376,-0.2324,0.3654,0.2683,0.1233,-0.0135,0.0278,0.2,-0.2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,GTA,,-0.0968,-0.0828,-0.0865,0.0571,-0.0278,0.0286,-0.0057,0.3435,0.0738,0.0893,0,0.3659,0.025,-0.0244,0.025,0.2308,-0.1772,0.0128,-0.0824,0.4655,-0.3333,0.1447,-0.0617,-0.1196,-0.1481,-0.069,-0.0085,-0.1203,0,0.1875,0.3659,-0.1087,-0.3867,0.1194,-0.4123,
111,GTN,,-0.0378,0.0947,-0.0231,0.109,0.4579,-0.0855,-0.2403,-0.2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,HAG,,-0.0619,-0.1923,-0.037,-0.3361,-0.1757,-0.1913,-0.1974,-0.0539,-0.036,0.0288,-0.1066,0.277,0.0493,-0.1096,-0.1828,0.4091,-0.2584,0,-0.0793,0.3004,-0.3771,0.0229,-0.2708,-0.3725,0.0132,-0.0258,-0.019,0.1704,-0.3005,0.5691,0.1827,0,0,0,0,
113,HAH,,0.0237,-0.064,-0.1193,-0.015,0.2219,0.1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,HAI,,-0.0595,-0.16,-0.0196,-0.1639,0.0167,-0.3333,-0.5109,-0.0936,-0.0602,-0.0609,0.0698,-0.0402,0.0616,0.0498,-0.0429,0.1053,-0.0104,-0.0352,0.118,0.0289,-0.308,-0.0706,-0.1873,0.0185,0.1607,-0.2329,0,0,0,0,0,0,0,0,0,
115,HID,,0.2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,HAP,,-0.1326,-0.2203,0.1346,-0.1333,-0.0323,-0.1622,-0.0864,-0.1099,0.0341,-0.0112,0.0349,0.2836,0.1964,-0.0968,0.069,0.4872,-0.22,-0.2958,0.5435,0.1795,-0.2778,-0.2286,-0.3,-0.2754,-0.1481,-0.1692,0.0714,-0.1802,-0.2014,0.287,1.4545,-0.5344,-0.4,0.121,-0.5643,
117,HAR,,-0.0476,-0.16,-0.1935,0,0.0164,-0.2078,-0.1895,-0.2149,0.1863,0.1591,-0.0435,0.2105,-0.1461,-0.5841,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,HAS,,-0.1349,0.2184,0.7059,0.0625,0,-0.0943,-0.0185,-0.069,-0.0645,-0.0159,0.05,0.2,0.087,-0.098,0.02,0.0638,-0.0784,-0.0893,0.1667,0.0667,-0.1667,0.08,-0.375,-0.2079,-0.1855,-0.1678,0.2114,-0.1458,-0.2299,-0.1762,1.1827,-0.1034,-0.3333,0.2168,-0.5843,
119,HAX,,0.3322,0.0106,0.9122,-0.075,0.4679,0.0792,0.1222,-0.0217,0.1646,0.1449,0.2105,0.3571,0,0.1053,-0.0952,0.1667,-0.1628,-0.2182,0.1702,-0.06,-0.2754,-0.3301,-0.2256,0.031,-0.0515,-0.1282,-0.0127,-0.164,-0.2895,-0.2222,1.5522,-0.1067,-0.5268,0.0497,-0.396,
120,HBC,,0.0432,0.433,-0.0202,0.0703,0.1859,-0.35,0.5094,-0.0305,0.0314,-0.0647,-0.2478,0.6028,-0.014,-0.1966,0.0723,0.4068,-0.1571,-0.6078,0.4167,0.125,-0.2085,-0.0308,-0.1098,-0.2,-0.012,0.0375,0.0695,0.1131,-0.0204,0.3346,0.8623,-0.08,-0.5627,-0.0902,-0.5228,
121,HCD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,HCM,,-0.0727,-0.0825,-0.0248,0.0189,-0.2035,0.2595,-0.0125,-0.1011,-0.0872,0.25,-0.0189,0.5071,-0.014,-0.0228,0.058,0.2622,-0.1503,-0.1106,0.284,0.0562,-0.1304,0.15,-0.3469,-0.1887,-0.1322,-0.3308,-0.0631,-0.2449,0.05,0.4768,0,0,0,0,0,
123,HDC,,-0.1071,0,0.0448,-0.0759,0.0902,-0.05,0,-0.4142,0.195,-0.0521,0.0821,0.3087,0.0643,-0.0476,-0.1302,0.2519,-0.1401,-0.1907,0.0601,0.1024,-0.1863,0.0737,-0.4242,-0.1932,-0.1204,-0.1143,-0.1322,-0.0547,0.1034,0.8297,0.634,-0.178,-0.4779,0.2316,-0.431,
124,HDG,,-0.1216,-0.0693,0.096,0.0081,-0.1143,-0.0476,-0.0068,0.0034,0.0536,0.0566,0.1277,0.6906,0.5109,-0.2698,-0.0667,0.1842,-0.0339,-0.3622,0.391,0.0231,-0.3011,-0.4132,-0.5745,0.0493,-0.1744,-0.14,-0.115,0,0,0,0,0,0,0,0,
125,HHS,,-0.1552,-0.2927,-0.219,-0.3312,0.0064,-0.4327,0.5193,-0.0055,0.0168,-0.5028,0.1765,0.0268,0.2016,0.24,-0.3865,-0.0121,-0.0237,-0.0088,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,TCH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,HLG,,-0.0619,0.0211,0.7925,0.1277,0.0682,0.375,-0.0303,-0.1951,-0.1633,-0.0755,-0.0702,-0.0172,-0.284,-0.0471,0.0897,-0.093,0.0886,-0.1596,-0.1296,-0.1429,0.2115,-0.0796,0.2418,-0.3259,-0.325,-0.4987,0.8645,-0.3185,0,0,0,0,0,0,0,
128,HMC,,0.061,0.1549,0.029,-0.0548,-0.1205,-0.1616,0.0206,0.0319,0.0217,-0.08,0,0.2346,0.0946,-0.0263,-0.1364,0.1579,-0.0952,-0.1765,0.02,0.0638,-0.1376,0.0686,-0.25,-0.1111,-0.1356,-0.1881,0.2179,0.0529,-0.3307,0.7397,0.5532,-0.2769,-0.5374,0.4789,-0.243,
129,HNG,,-0.0685,-0.0988,0.0125,-0.7428,0.1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,HOT,,-0.1267,0.0286,0.0769,-0.2737,0.4094,-0.0593,0.0843,0.0289,-0.1168,0.096,-0.1582,0.0241,0.1694,-0.1329,0.0593,0.0037,0.2396,-0.2767,0.6484,-0.0667,0.3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,HPG,,-0.0164,0.2663,0.2115,-0.0852,-0.0193,0.1692,-0.4352,-0.1196,-0.0776,0.1373,0.0537,0.201,0.2917,-0.0488,0.3554,0.3297,-0.1574,-0.1,0.0435,0.2169,-0.3505,-0.0906,0.0063,-0.203,0.0364,-0.0811,-0.3074,-0.0242,-0.1079,0.433,0.902,-0.1612,-0.5287,0.2647,-0.3665,
132,HQC,,-0.1717,-0.0185,-0.0526,-0.0952,0.2353,-0.0893,-0.1884,-0.1481,-0.0241,0.2576,-0.2143,0.2174,0.1695,0.0351,-0.0656,0.525,-0.0476,-0.1923,-0.0877,-0.1364,-0.5111,-0.4706,-0.3544,0.2825,0,0,0,0,0,0,0,0,0,0,0,
133,HRC,,0.1813,-0.1579,0.016,-0.1116,-0.0644,-0.0239,0.0066,0.1198,0.0149,-0.1044,-0.0196,-0.0397,0.0063,-0.0286,0.2538,0,0.04,0.0623,-0.0711,-0.3091,-0.0756,0.0439,-0.0806,0.0248,0.1204,0.3882,0.0746,-0.1127,-0.1013,0.2825,0.8534,-0.3937,-0.5,0.3208,-0.5182,
134,HSG,,0.1198,0.2295,0.135,-0.0189,-0.2361,0.1339,-0.0615,-0.2089,0.0907,0.0067,-0.2053,0.3714,0.0957,-0.2419,0.5122,0.8851,0.0175,-0.1493,0.7788,0.2989,-0.1553,-0.0636,-0.2994,-0.1604,-0.2076,-0.4394,-0.158,0.0204,-0.0392,0.9101,1.871,0,0,0,0,
135,HT1,,-0.2015,-0.0746,0.1007,0.0347,0.1614,0.0569,0.0821,0.2112,-0.0183,0.4513,0.13,0.8868,0.1042,-0.1429,0.12,0.2821,-0.1702,-0.254,0.75,0.1613,-0.3673,-0.125,-0.2911,-0.1684,-0.2213,-0.1586,-0.0203,-0.092,0.0062,-0.0061,0.1088,0.097,-0.2254,-0.0114,-0.4632,
136,HTI,,-0.0273,0.1883,-0.0065,0.1071,0.0219,0,-0.1543,0.3966,0.1154,0.1685,-0.1442,0.1064,0.2051,0.04,-0.0132,0.1692,-0.1447,-0.1461,0.2714,0,0.0145,-0.0548,-0.3303,0,0,0,0,0,0,0,0,0,0,0,0,
137,HTL,,-0.1358,-0.1928,0.0506,-0.5123,0.6788,0.331,0.9079,0.5385,0.4529,-0.15,0.2658,-0.0706,0.5888,0.7833,0.2,0.3158,0.027,-0.3621,-0.4141,0.2692,0.0263,-0.392,-0.3207,0,0,0,0,0,0,0,0,0,0,0,0,
138,HTV,,-0.0628,0.2013,0.053,0.0786,-0.1908,-0.0495,0.0111,-0.0323,0.0276,-0.0216,-0.0365,0.1361,0.2158,-0.0608,0.1045,0.1074,-0.032,-0.0385,0.4607,0.1867,-0.2021,0.0217,-0.2581,-0.2619,-0.6111,1.6182,-0.0294,-0.1707,0.25,0.3226,0.5696,-0.1319,-0.474,0.2098,-0.5153,
139,HU1,,-0.1254,-0.1194,-0.1067,-0.0132,0.0411,-0.0267,-0.1573,0.0114,0.0476,0.12,-0.0625,0.2698,-0.0156,-0.2644,0.0482,0.137,-0.0988,-0.391,0.0472,0.4598,0.3594,-0.3905,-0.3636,-0.2143,-0.3438,0.6,0,0,0,0,0,0,0,0,0,
140,HU3,,-0.101,0.2987,0.0548,-0.0135,0,-0.0976,-0.0353,-0.1237,-0.0202,0.0761,-0.1481,0.0093,0.163,-0.0707,0.1647,0.1039,-0.1444,-0.3284,-0.029,0.3398,-0.0885,0.0273,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,HVG,,-0.0418,-0.0297,-0.0648,-0.1818,-0.1698,-0.2129,-0.0691,-0.3111,0.4063,-0.1004,-0.1263,0.1585,0.1182,-0.4226,0.3607,0.3023,-0.2586,-0.3095,0.6601,0.2843,0.0707,0.1018,-0.1814,-0.0642,0.0283,-0.3943,-0.26,-0.1241,0,0,0,0,0,0,0,
142,HVX,,0.1111,-0.25,-0.0323,-0.0313,0.0667,0.1321,-0.1167,0.0169,0.0727,0.1,0.0204,0.0652,0.2778,-0.2653,-0.0577,0.3684,-0.2245,-0.1091,0.5714,0.129,-0.3111,-0.0217,-0.2203,-0.1324,0,0,0,0,0,0,0,0,0,0,0,
143,ICF,,-0.0536,-0.1515,-0.0294,-0.0811,-0.075,-0.1667,-0.0769,-0.2121,0.1186,0.2292,-0.0769,-0.2239,1.2333,-0.1429,-0.0541,0.3214,-0.2432,-0.3148,0.125,0.1429,-0.2632,-0.1972,-0.1839,-0.0842,-0.1949,-0.2716,0.2462,-0.1333,-0.0066,0.3363,0.7937,-0.2025,-0.313,-0.065,-0.3971,
144,IDI,,-0.202,-0.2857,-0.1026,0.0263,0.0133,-0.1176,-0.1748,-0.1043,-0.0945,0.0855,0.0833,0.44,0.1029,-0.1169,0.0845,0.0597,-0.1519,-0.2255,0.0968,0.2568,-0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,IJC,,-0.0488,-0.0575,0.2429,-0.1463,-0.0353,-0.2609,-0.0945,-0.0662,-0.0933,0.2,-0.1071,0.573,0.2714,-0.2857,-0.0485,0.3038,-0.1596,-0.1754,0.027,0.1684,0.25,0.0704,-0.432,-0.1611,-0.1337,-0.4069,0,0,0,0,0,0,0,0,0,
146,IMP,,-0.088,0.5244,-0.0682,0.1518,-0.0861,-0.1049,-0.0271,0.1215,-0.0655,-0.1276,-0.0455,0.5068,0.0139,0.125,-0.0831,-0.0279,-0.0553,0.0298,-0.0978,0.0763,-0.1828,0.1625,-0.1837,-0.1552,-0.0569,-0.0682,-0.0571,-0.1358,0.1655,0.1393,0.1845,-0.2197,-0.3654,-0.0796,-0.2848,
147,ITA,,0.016,0.1111,-0.1176,-0.1639,0.1961,-0.2154,-0.1447,-0.1461,-0.0326,0.1646,-0.0482,0.2576,0.1579,-0.2597,-0.0253,1.0789,-0.3333,-0.2297,-0.2449,0.3611,-0.301,0.0404,-0.3219,0,-0.2275,-0.4691,0.116,-0.1448,-0.1077,0.0718,1.6712,-0.5182,-0.5732,-0.0274,-0.2275,
148,ITC,,-0.1393,0.4186,0.0617,0.0125,-0.0698,0.1026,0.0263,-0.0732,-0.0238,0.05,-0.0805,0.1447,0.1692,-0.2614,-0.0538,0.4531,-0.1899,-0.2883,0.2333,0.0843,-0.4071,0.12,-0.4131,0.0758,-0.1502,-0.3528,-0.5862,0.1154,0,0,0,0,0,0,0,
149,ITD,,-0.0919,-0.0751,0.506,0.006,-0.0973,0.1012,0.5,0.2308,0.1235,0.209,-0.0822,0.1061,0.7368,-0.1556,-0.0217,0.15,-0.3333,-0.4286,0.3816,-0.0732,-0.0353,-0.1667,-0.3245,0.208,-0.3523,-0.0103,0,0,0,0,0,0,0,0,0,
150,JVC,,0.0571,-0.1026,-0.2041,-0.2222,0.2353,-0.7692,0.0279,0.2079,0.1946,0.0068,-0.2043,0.0508,-0.0432,-0.0704,0.0153,-0.0755,0.1585,-0.2043,0.1558,0.3446,0.2437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,KAC,,-0.3164,-0.3293,0.2615,0.0317,-0.3077,-0.1165,0.0404,-0.3219,0.2479,0.0935,0.0388,0.6349,-0.1,-0.0667,-0.2647,-0.0286,-0.1667,0.115,-0.226,0,-0.0988,-0.1692,-0.2986,0.057,0,0,0,0,0,0,0,0,0,0,0,
152,KBC,,-0.1966,0.2109,0.1221,0.0077,0.0656,-0.2278,-0.0307,-0.024,0.1678,0.4158,-0.2171,0.3579,0.25,-0.1059,-0.1053,0.9,-0.375,-0.3388,-0.1655,0.3942,-0.2973,-0.0807,-0.4686,0.01,-0.1098,-0.3701,-0.0696,0,0,0,0,0,0,0,0,
153,KDC,,-0.1169,0.4312,0.1162,-0.0731,0.0317,-0.3913,-0.1135,-0.1189,-0.2886,0.2417,0.0526,0.1656,-0.02,0.0396,-0.0123,0.2304,0.2344,-0.1795,0.0955,0.141,-0.2,0.0598,-0.261,-0.033,-0.0283,-0.0093,-0.1371,-0.1788,0.0786,0.573,1.225,-0.3651,-0.5655,-0.212,-0.3655,
154,KDH,,-0.2222,0.125,0.0995,0.0096,0.0718,-0.093,-0.0271,0.1571,-0.1033,0.2754,0.0438,0.3115,0.2323,-0.0833,0.3012,-0.1616,-0.1885,-0.2738,-0.1158,-0.24,-0.3151,-0.0736,-0.0223,-0.0218,-0.0742,-0.1359,0.1521,0,0,0,0,0,0,0,0,
155,KHA,,-0.0308,0.1712,0.0882,-0.0438,0.1073,-0.0796,0.1018,0.1728,0.1355,0.0388,-0.0965,0.5099,0.1984,0.0862,-0.1077,0.3542,0,-0.0303,0.0645,0.0449,-0.0825,-0.0583,-0.3133,-0.0854,-0.2442,-0.1523,0.1034,-0.1042,-0.119,0.7294,0.619,-0.0708,-0.343,0.3438,-0.3905,
156,KHP,,0.198,-0.0098,-0.15,0.0084,-0.0403,0,-0.1014,0,-0.0143,0.0072,0.0611,0.0565,-0.008,-0.031,0.2404,0.3333,-0.025,-0.0123,0.0658,0.1014,-0.08,0.0135,-0.2525,-0.01,-0.1597,-0.0083,-0.1724,-0.3256,0.0287,0.1297,0.7453,0.0095,-0.2857,-0.0134,-0.4966,
157,KMR,,-0.0545,-0.2667,0.8293,-0.0889,-0.1,-0.0741,-0.1563,-0.2289,-0.0349,0.4098,-0.3146,-0.0326,2.4074,0.125,-0.2727,0.32,-0.2424,-0.34,0.4706,-0.1282,-0.2353,0.1591,-0.2787,-0.1757,-0.2292,-0.2727,0.1092,-0.1377,0.0147,0.0074,1.3684,-0.1094,-0.6684,0,0,
158,KPF,,0.3452,-0.2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,KSA,,0.0625,-0.7288,0.0172,0.0357,0.4737,-0.4648,-0.1839,-0.2162,0.2759,0.0357,-0.2075,0.0928,0.2125,-0.2233,0.051,0.1807,-0.2845,0.0265,0.378,0.2813,-0.5396,-0.0974,-0.5157,-0.2933,-0.0217,0,0,0,0,0,0,0,0,0,0,
160,KSB,,0.0615,0.2745,0.3351,0.1268,0.2327,-0.2052,0.1382,-0.044,0.1158,0.1047,-0.1254,0.3594,0.2123,-0.1394,0.0505,0.1061,0.0113,-0.1611,-0.2464,-0.3301,-0.164,-0.0909,0,0,-0.0968,-0.0388,0.1518,0,0,0,0,0,0,0,0,
161,KSH,,1.275,-0.5789,-0.1915,-0.0408,-0.125,-0.2911,-0.21,-0.2366,0,1.3393,-0.2,0.2963,0.08,-0.2754,-0.0143,0.3208,-0.2933,-0.2021,0.093,-0.2182,-0.3252,-0.3755,-0.1,-0.1618,-0.1285,-0.3383,0.3544,-0.0866,1.6503,-0.1488,0.7917,-0.0769,0,0,0,
162,L10,,-0.0325,-0.0435,-0.0123,0.0584,0.0336,-0.0132,-0.0503,-0.0305,0.1389,0.0909,-0.1801,0.3761,0.2447,0.0217,-0.0515,0.5156,-0.2471,-0.1584,0.2317,0.1233,-0.2843,0.02,-0.4253,-0.2627,-0.3426,0.5956,0.1719,-0.04,-0.0741,0.4211,0.434,-0.1167,-0.1781,-0.0988,-0.4671,
163,LAF,,-0.0726,-0.1079,0.053,-0.0294,0.0074,0.0385,-0.058,-0.0417,0.036,0.39,-0.3289,0.8861,0.6809,-0.0408,0.0426,0.3429,-0.527,-0.4308,-0.1772,0.197,-0.2189,0.2158,-0.3443,0.0707,-0.0341,-0.0421,0.2588,-0.1282,0.25,0.1304,0.9437,-0.3826,-0.5611,0.5412,-0.5584,
