No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008
79,DRC,-0.0642,-0.0488,-0.0709,0.0654,-0.0626,-0.0335,-0.0837,0,-0.0176,0.0918,0.0631,0.014,0.0349,0.0078,-0.0143,0.0875,0.1183,-0.0238,-0.2447,0.4022,-0.0231,-0.0241,-0.1513,-0.1401,0.0178,-0.0805,-0.4045,0.0037,-0.1424,0.2749,0.4864,0.2076,-0.1141,-0.1919,-0.1802,-0.3439
80,DRH,0.1238,-0.4432,0.0682,0.2411,0.5065,0.1091,0.0512,-0.03,0.0706,0.0948,0.033,0.1326,0.1919,0.0792,-0.0792,-0.1249,0,-0.1513,-0.0918,0.055,-0.1039,0.0189,-0.1461,-0.2341,-0.0904,-0.1594,,,,,,,,,,
81,DRL,0.0348,0.0512,0,-0.0389,-0.0414,-0.0111,0.0033,0.0492,0.01,0.0497,-0.0289,0.0819,0.0248,0.0086,0.0035,-0.0121,0.03,0.0074,0.0639,,,,,,,,,,,,,,,,,
82,DSN,-0.0108,-0.0066,0.0272,-0.0997,0.0378,0.069,-0.0071,0.0071,0.0036,0.0072,0.0302,-0.0516,0.0141,-0.0036,0.0182,0.1449,0.0517,0.0507,-0.0091,0.131,-0.0017,0.0775,-0.0041,-0.0373,0.0476,,,,,,,,,,,
83,DTA,-0.0544,-0.0706,-0.1761,0.1278,-0.1684,-0.058,0.0428,-0.0561,0.0792,0.2089,-0.0813,0.1214,0.1691,-0.0928,-0.2478,0.1065,0.0939,-0.2366,-0.0569,0.1648,-0.1798,0.0466,-0.1622,-0.2502,0,-0.3181,,,,,,,,,,
84,DTL,0.0136,0.1004,0.2924,0.0544,0.0512,-0.0414,-0.0332,0.0235,0,-0.0325,-0.0089,-0.0613,0.0038,-0.0507,-0.0034,0.0465,-0.0632,-0.0375,-0.0118,-0.0469,-0.0154,-0.0025,-0.0586,-0.0555,0.0218,-0.0179,,,,,,,,,,
85,DTT,-0.138,0.0358,-0.0997,0.0997,0.1556,-0.1648,0.0746,-0.1576,0.0395,0.2503,-0.0421,-0.0444,0.2041,-0.216,0.0768,0.0215,-0.0215,-0.1421,0.0424,0.0229,0.0911,-0.0212,-0.1352,-0.0245,-0.0047,-0.1792,0.0638,0.0339,-0.0653,-0.0355,0.1461,0.0269,-0.0643,-0.1299,-0.0528,-0.2015
86,DVP,0.039,-0.0161,0.0089,0.0343,-0.0032,0.1009,0.0124,0.0467,-0.0028,0.0551,0.0042,-0.0346,0.0059,-0.1974,0.0095,0.1619,0.0557,0.0435,-0.0184,0.072,-0.0595,0,-0.0137,0.0079,0.0332,-0.0445,-0.0474,0.0419,,,,,,,,
87,DXG,0.0643,-0.1259,0.0085,-0.0758,-0.0368,0.025,0.0993,-0.0472,0.0621,0.003,-0.0491,0.0976,0.1082,0.0872,0.0164,-0.2117,0.1544,-0.0237,-0.1441,0.266,-0.3248,-0.1206,-0.0762,-0.0198,-0.0697,-0.1231,-0.349,0.1421,,,,,,,,
88,DXV,-0.0459,0.0599,0.0395,-0.0102,0.0207,-0.0307,-0.0193,-0.0185,-0.009,0.037,-0.037,0.1104,0.0483,0.1335,-0.0934,-0.0884,-0.0637,-0.1047,-0.0512,0.1559,-0.1047,0.0492,-0.1987,-0.2163,-0.1191,-0.3293,0.1507,0.2749,-0.0063,0.1016,0.1722,0.0059,-0.0661,-0.0101,-0.2035,
89,E1VFVN30,-0.0029,0.0092,0.0351,0.0283,-0.0418,-0.0216,0.0538,-0.0187,-0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,EIB,-0.0272,-0.0669,0.0502,0.0041,-0.0507,-0.0617,0.0229,-0.0324,0.0638,-0.0246,-0.0168,-0.0033,-0.0097,-0.0338,0.0059,-0.0587,0.0242,-0.0783,0.0117,0.0922,0.0029,-0.0059,0.0059,-0.0174,0.0263,-0.1181,-0.058,-0.0273,-0.0885,,,,,,,
91,ELC,-0.0504,0.0228,0.0667,-0.0115,-0.0364,0.1658,-0.0248,0.1123,0.0031,-0.0362,-0.0669,-0.0025,-0.0025,-0.0944,-0.1063,0.0422,0.0192,0.0276,-0.0873,-0.03,0.0253,-0.0091,-0.0731,-0.1287,-0.0448,,,,,,,,,,,
92,EMC,0.0446,-0.0719,0.0566,-0.0185,-0.0381,0.1441,0.1471,0.0552,-0.0353,0.0353,0.0548,0.0084,0.0843,-0.1091,-0.1065,0.0535,,,,,,,,,,,,,,,,,,,,
93,EVE,-0.0274,-0.0018,-0.2812,0.2265,0.0564,0.0274,-0.0648,-0.0268,0.0571,-0.0632,0.0444,-0.0399,0.1124,0.0307,0.0173,-0.048,0.0307,-0.0105,-0.1171,0.0852,-0.0456,-0.0903,-0.1333,-0.0357,,,,,,,,,,,,
94,ROS,0.1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,FCM,-0.0303,0.1132,-0.0669,0.0492,-0.1271,-0.0372,-0.0398,-0.1097,-0.0627,-0.0317,-0.0134,-0.0065,0.2295,-0.098,,,,,,,,,,,,,,,,,,,,,,
96,FCN,-0.0272,-0.0438,0.008,0.0676,-0.0736,0.002,-0.0157,0.0238,-0.0445,0.0131,-0.024,-0.0124,0.1948,-0.0774,0.0719,-0.0436,0.0024,0,,,,,,,,,,,,,,,,,,
97,FDC,0.0354,-0.0051,-0.0374,0.0016,0.1961,-0.0784,0.0253,-0.0191,0.0127,0.0403,-0.0467,-0.0125,0.043,0.0161,-0.0908,0.0058,0.0098,0.0202,-0.0792,-0.0442,0.0079,0.0145,0.0167,-0.0559,0.0343,-0.2665,0.1555,-0.0396,,,,,,,,
98,FIT,-0.1125,-0.119,-0.0187,-0.0352,-0.1305,-0.0658,-0.0756,-0.0896,-0.15,0.2581,-0.0448,0.0028,-0.0141,0.0786,,,,,,,,,,,,,,,,,,,,,,
99,FLC,-0.1149,0.0708,-0.0766,0.0196,-0.0322,-0.058,-0.1139,0.0042,-0.0364,-0.0681,0.092,0.0759,0.2681,,,-0.0407,0.0199,-0.2545,-0.2972,-0.0969,0.3941,,,,,,,,,,,,,,,
100,FMC,-0.0262,0.0039,0.0223,0.0414,-0.151,0.0406,-0.0088,0.0052,0.0143,0.1183,0.056,-0.0263,0.1698,0.0354,0.0476,-0.0517,0.0337,-0.1249,0.0307,0.0813,-0.0445,0.0619,-0.0951,-0.014,-0.0364,-0.0564,-0.0764,0.0877,-0.2161,0.284,0.0886,-0.0466,0.0266,-0.085,-0.2257,-0.3067
101,FTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,FPT,0.0157,0.0257,-0.0739,0.0201,-0.0263,0.018,-0.0369,0.0351,-0.0309,0.0043,-0.1324,0.0914,0.0834,0.0274,0.0629,-0.0326,0.0493,-0.1237,-0.0969,0.0782,0.0018,-0.0651,0.0521,-0.0918,-0.0843,-0.0028,-0.058,0.058,-0.048,0.0508,0.1394,0.041,-0.1689,0.0461,-0.0824,-0.386
103,FTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,GAS,-0.0407,0.0524,0.0596,0.1143,-0.077,-0.1006,-0.0487,-0.0669,-0.1388,-0.0278,0.0553,0.1113,0.0803,-0.0101,0.092,0.074,0.0537,0.0066,,,,,,,,,,,,,,,,,,
105,GDT,-0.0024,-0.0078,0.0492,0.1249,-0.0159,0.0148,-0.0046,0.0509,0.017,0.1088,-0.0282,0.044,0.0611,0.0808,-0.0146,0.0782,0.0646,-0.035,-0.103,0.0024,0.0682,0.0674,-0.0786,-0.0919,0,-0.0261,-0.0663,0.0129,,,,,,,,
106,GIL,-0.121,0.0152,0.1198,0.0906,0.0578,0.0519,-0.0267,-0.1169,0.1669,0.0624,-0.0555,-0.0492,0.0854,-0.1007,0.0278,-0.0637,-0.086,-0.0337,0.0828,0.0582,0.03,0.0256,0.0792,0,-0.0249,-0.0459,-0.1755,0.0599,-0.0463,0.2078,0.1369,0.0721,-0.0348,-0.0717,-0.1584,-0.2112
107,GMC,0.0134,-0.1352,-0.0328,0.0351,-0.0796,-0.0267,0.1158,-0.0235,0.0613,0.0414,-0.0414,-0.0013,0.1184,0.0397,0.0673,0.0368,-0.039,0.0295,0.0241,0.0229,0.044,0.0177,-0.0512,-0.0738,-0.0023,-0.1,-0.0708,0.0672,-0.1802,0.3599,-0.2088,0.2599,-0.0235,-0.025,-0.1296,-0.3263
108,GMD,0.0172,0.0146,-0.197,0.0149,-0.0304,0.0972,0.0655,0.003,-0.071,-0.0038,0.0559,-0.0596,0.0829,0.061,-0.0714,0.0645,0.1482,-0.0621,-0.1607,0.2228,-0.0979,-0.0554,-0.0491,-0.0428,-0.0067,-0.0702,-0.2959,0.0058,-0.0772,0.213,0.1694,0.0785,-0.0365,-0.0951,-0.1757,-0.3079
109,GSP,-0.0599,-0.0193,-0.0274,0.0243,-0.0529,0.0786,-0.0033,0.0202,-0.0332,0.0654,-0.0424,0.0314,0.1397,0.0101,0.0263,0.0398,0.064,-0.064,-0.1781,,,,,,,,,,,,,,,,,
110,GTA,0.0165,-0.1374,0.0227,0.0105,-0.0404,0.0352,-0.0026,0.0052,0.0839,0.0843,-0.0263,-0.0072,0.2315,-0.0518,-0.0212,0.055,0.0119,-0.0458,-0.0364,0.031,0.0054,-0.0314,0.0102,-0.0348,-0.0141,-0.1024,-0.035,0.0499,-0.124,0.1594,0.0568,0.0142,-0.0669,-0.1691,-0.0527,-0.2268
111,GTN,-0.0122,-0.0859,0.1329,0,0.0422,0.142,-0.1761,0,-0.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,HAG,0.0322,-0.0902,-0.0969,-0.0107,-0.2354,-0.0888,-0.0651,-0.0313,-0.0547,-0.0157,-0.0101,0.0745,-0.0156,0.0443,-0.0424,-0.1053,0.1413,-0.1473,0.0105,0.1184,-0.1334,-0.068,-0.0865,-0.1239,-0.1494,-0.0135,-0.0157,0.0292,-0.1779,0.2122,0.0999,-0.0183,,,,
113,HAH,-0.0034,-0.0045,-0.0143,-0.081,-0.0009,0.1122,0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,HAI,-0.0814,-0.0436,-0.0641,0.0086,-0.0792,-0.1461,-0.0928,-0.1648,-0.4675,0.344,-0.039,-0.002,0.0099,0.0101,0.0083,0.0149,0.0407,-0.0163,0.0357,-0.0974,0.1074,-0.2063,-0.0305,-0.0742,0.0416,0.0027,-0.1236,,,,,,,,,
115,HID,-0.0836,0.0719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,HAP,-0.1349,-0.0508,-0.0512,0.0334,-0.0934,-0.0589,0.0383,-0.0956,-0.0738,0.0632,-0.0254,0.0994,0.0322,0.0726,0.0161,-0.0316,0.1538,-0.1461,-0.1863,0.3782,-0.1513,-0.0706,-0.1461,-0.1996,-0.0284,-0.131,-0.0708,0.0964,-0.1489,0.0505,0.2454,0,-0.2279,-0.0897,-0.1585,-0.2885
117,HAR,-0.2533,-0.1147,0.0854,-0.0185,-0.1317,-0.0322,-0.058,-0.0837,-0.0851,0.0676,0.0598,0.0469,0.0983,-0.2798,-0.5006,0.4095,,,,,,,,,,,,,,,,,,,,
118,HAS,-0.0449,-0.0361,0.128,0.1461,0.0269,-0.0355,-0.0559,0.0392,-0.0539,-0.0212,-0.0202,0.0714,0.1047,-0.0467,0.0181,-0.0522,0.0083,0.0348,-0.0591,0.0776,-0.0532,0.0084,-0.0918,-0.1691,-0.0689,-0.1473,-0.0194,0.1003,-0.1292,0.0262,0.0425,0.0852,-0.0348,-0.1191,-0.0435,-0.4137
119,HAX,0.0188,0.1249,0.0461,0.258,-0.1871,0.301,0.0328,0.0544,-0.0142,0.0654,0.058,0.1127,0.0989,0.0537,-0.083,0.0946,-0.0339,-0.0107,-0.1276,0.0328,-0.0483,-0.0954,-0.2243,-0.035,0.0137,-0.1153,-0.0666,0.0801,-0.1477,-0.0135,0.0743,0.1182,-0.0831,-0.1612,-0.1861,-0.2185
120,HBC,0.0493,0.093,0.0925,-0.0398,0.0354,0.0605,-0.0626,0.091,-0.0079,-0.0204,-0.0495,0.0596,0.0937,-0.0755,0.0081,0.0251,0.0998,-0.1409,-0.4011,0.2062,0.0312,-0.071,-0.0365,-0.156,0.0029,-0.0049,0.0139,0.0649,-0.0272,0.1631,0.1891,0.0441,-0.0291,-0.2274,-0.2497,-0.301
121,HCD,0.0873,-0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,HCM,0.0008,-0.047,0.0303,0.0198,-0.1098,-0.0143,0.0713,-0.0041,-0.066,0.033,0.0142,0.0604,0.1852,-0.0481,0.0084,-0.0145,0.0878,-0.0899,-0.0534,0.1963,-0.0605,0.0175,-0.0876,-0.1473,0.0292,-0.2141,-0.1242,0.0381,-0.2274,0.1442,,,,,,
123,HDC,-0.0418,-0.0669,0.0322,-0.0228,0.0129,-0.0129,-0.0094,0,-0.1761,0.0126,-0.1037,0.1629,0.0981,0,-0.0091,-0.0665,0.0606,-0.023,-0.0673,0.0024,0,0.0049,-0.2029,-0.1422,-0.0499,-0.0664,-0.0806,0.0215,-0.1482,0.3,0.2389,0.0398,-0.0343,-0.0646,-0.2206,-0.3062
124,HDG,0.0073,-0.088,0.0544,-0.0017,0.0103,-0.0584,0.0381,-0.0772,0.0515,0.073,-0.0338,0.1618,0.1496,0.0978,-0.0458,-0.0825,0.0746,-0.1,-0.2292,0.2992,-0.133,-0.0208,-0.2894,-0.4044,0.0078,-0.0677,-0.0739,,,,,,,,,
125,HHS,-0.1616,-0.0811,-0.1129,-0.0852,-0.2534,-0.0906,0.043,0.0574,0.0175,0.013,-0.2931,0.032,0.0192,0.2862,-0.0869,-0.2341,-0.0028,-0.0459,0.0431,,,,,,,,,,,,,,,,,
126,TCH,-0.2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,HLG,-0.0169,0.0212,0.2076,0.1392,-0.0189,0.1039,0.0119,0.0792,-0.1357,-0.05,-0.0776,-0.052,-0.0527,0.0126,0.0064,-0.0432,-0.085,-0.0458,-0.0334,0.0467,-0.0851,-0.0145,0.1086,-0.0517,-0.0812,-0.3709,-0.157,0.2825,-0.2145,,,,,,,
128,HMC,0.0632,-0.0052,0.055,0.0432,-0.0547,-0.083,-0.023,0,0.0136,0.0093,-0.0448,0.0592,0.0861,-0.0059,0.0059,-0.0505,0.0107,-0.0512,-0.0792,0.0557,-0.0517,-0.0159,-0.055,-0.0699,-0.0498,-0.1083,-0.0883,0.1614,-0.0669,0.1208,0.168,-0.0494,-0.1159,-0.0778,-0.0815,-0.1539
129,HNG,0.0844,-0.06,-0.0906,-0.2581,-0.291,-0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,HOT,0.0959,-0.035,0.0951,-0.1607,-0.0258,0.0719,-0.0976,0.0756,0.062,-0.0798,0.0041,-0.0318,0.0421,0.0559,-0.0767,0.0324,-0.0402,-0.0031,0,0.2374,-0.0835,0.1549,,,,,,,,,,,,,,
131,HPG,0.0162,-0.0382,0.1233,0.0857,-0.059,-0.0136,-0.1316,-0.036,-0.0609,-0.0193,0.0633,0.0374,0.0884,0.0891,0.0421,0.0431,0.1267,-0.0922,-0.0532,0.1871,-0.1986,-0.0549,-0.0526,-0.0537,-0.0056,0.0394,-0.1246,-0.0996,-0.1083,0.112,0.1692,0.1168,-0.0233,-0.2285,-0.059,-0.1919
132,HQC,-0.3722,-0.0034,-0.0322,0.0492,-0.1206,0.0714,-0.058,-0.0451,-0.0238,-0.0226,0.0525,-0.03,0.0827,0.052,0.0502,-0.0422,0.0989,-0.0655,-0.0792,0.1061,-0.3491,-0.0687,-0.5056,-0.0911,0.2213,,,,,,,,,,,
133,HRC,-0.0436,0.1106,-0.0899,-0.0394,0.0098,-0.0662,-0.0047,0.0066,0.0709,-0.0055,-0.047,-0.0433,0.0045,0.0408,-0.027,0.1075,-0.0176,0.0093,-0.054,0.0073,-0.156,-0.0037,0.0037,-0.0387,0.035,-0.0417,0.2252,0.0372,-0.1032,0.1081,0.1408,0.0353,-0.018,-0.2867,-0.1183,-0.3685
134,HSG,0.0938,0.0071,-0.0766,0.2157,-0.2111,0.0401,0.0499,-0.057,-0.0636,0.0606,-0.058,0.0243,0.0891,0.0011,-0.0168,0.1696,0.1826,-0.0146,-0.0474,0.3163,-0.0131,0.0501,-0.1888,-0.1074,-0.0237,-0.1897,-0.197,-0.0066,-0.0884,0.2244,0.3247,-0.0673,,,,
135,HT1,-0.0394,-0.1424,0.0435,0.0294,-0.0017,0.0712,0.0121,0.0589,0.029,0.0944,0.1461,0.1805,0.1206,0,0.0177,0.0091,0.1039,-0.1039,-0.0761,0.243,-0.1076,-0.0307,-0.1954,-0.1479,-0.0218,-0.0986,-0.0631,-0.0058,-0.0743,0.0601,-0.0376,0.0104,0.0244,0.0997,-0.2776,-0.2166
136,HTI,-0.0142,0.0315,0.0206,0.0531,-0.0203,0.0294,-0.0621,0.0385,0.1145,0.0732,0.0045,-0.0132,0.1135,-0.0056,0.0288,0,0.0245,-0.042,-0.0537,0.0832,-0.018,0.0497,-0.0669,-0.2173,,,,,,,,,,,,
137,HTL,-0.0995,-0.0515,-0.1118,-0.0509,-0.2617,0.3103,0.1522,0.2434,0.1546,0.1803,0.0505,-0.0166,0,0.359,0.0322,0.0136,0.2553,-0.1549,-0.1703,-0.0703,0.0944,-0.0894,-0.1761,,,,,,,,,,,,,
138,HTV,-0.0444,-0.058,0.0942,0.0027,0.0428,-0.1151,0.0236,0.0224,-0.0224,-0.0072,-0.0187,0.0483,0.0751,0.0481,-0.105,0.0949,0.0274,-0.05,0.0226,0.2722,-0.0944,-0.0336,-0.0603,-0.1249,-0.0746,-0.2762,0.242,-0.007,-0.1458,0.2186,0.2014,0.0605,-0.1019,-0.0692,-0.1636,-0.2417
139,HU1,0.0083,-0.1353,0.0451,-0.0803,-0.0166,0.0458,-0.0458,-0.0263,-0.0151,0.0469,-0.0109,0.076,0.0544,-0.1614,0.005,0.0207,0.0273,-0.1047,-0.1293,0.2229,,,-0.2264,-0.1103,-0.0835,,,,,,,,,,,
140,HU3,-0.0527,0.1291,-0.0322,-0.0102,0.026,0.0109,-0.0215,-0.0052,-0.0757,0.0132,0,0.0625,-0.0395,0.05,-0.0862,0.0177,0.0846,-0.1358,-0.1249,0.154,-0.0449,0.0198,-0.1198,,,,,,,,,,,,,
141,HVG,-0.0792,-0.0119,0.0119,-0.008,-0.1573,-0.1418,0.0416,-0.0192,-0.1911,0.1308,-0.0332,0,0.0296,-0.0228,-0.0576,0.0343,0.0664,-0.1748,-0.0257,0.1949,0.021,0.1185,0,-0.1338,-0.0499,-0.0229,-0.231,-0.0334,,,,,,,,
142,HVX,0.0895,0.0305,-0.0726,-0.0548,-0.0215,-0.0138,0,0.028,0.0073,0.0548,0,0.0439,-0.0603,0.1761,-0.1158,-0.0269,0.0969,-0.0792,-0.009,0.1988,-0.0768,-0.0653,-0.1147,-0.0512,-0.0332,,,,,,,,,,,
143,ICF,-0.0124,-0.0652,-0.013,0.013,-0.0835,-0.0314,-0.0741,-0.0084,-0.0833,0.0669,-0.0235,0.0657,0.1104,0.1174,-0.0561,-0.0497,0.0911,-0.1663,-0.1347,0.1061,-0.0761,0,-0.1761,-0.0202,-0.0332,-0.2476,0.0322,0.0726,-0.1805,0.2182,0.119,0.0773,-0.0958,-0.0134,-0.1474,-0.3041
144,IDI,-0.0904,-0.0762,-0.0984,-0.0393,0.0054,0.011,-0.0621,-0.0586,-0.091,0.0664,-0.0732,0.2533,0.0313,-0.019,0.0389,-0.0512,0.0122,-0.047,-0.1761,0.2758,-0.1761,0.0094,,,,,,,,,,,,,,
145,IJC,-0.0197,-0.0005,0.0469,0.0781,-0.12,-0.0979,-0.0233,-0.0532,-0.0353,0.0319,0.0238,0.0806,0.1378,-0.0114,-0.058,-0.0969,0.1276,-0.1236,-0.0961,0.1793,-0.1027,0.2308,-0.1516,-0.2182,-0.0268,-0.1939,-0.1433,,,,,,,,,
146,IMP,-0.045,0.0891,0.0303,0.0967,-0.0448,-0.0301,-0.0171,0.0009,0.0764,-0.2218,0.0532,0.0633,0.1317,0.0144,0.0464,-0.0277,-0.0367,-0.0195,0.0102,-0.0488,-0.0269,0,0.0577,-0.1026,-0.0578,,,0.0228,-0.0902,0.1213,0.0221,-0.076,-0.0508,-0.1509,-0.0732,-0.1727
147,ITA,-0.0956,-0.0036,0.0274,-0.0532,-0.0969,0.0136,-0.0332,-0.0483,-0.0587,0.0474,-0.0322,0.061,0.078,0.0295,-0.0365,-0.137,0.3062,-0.2028,-0.1471,0.1219,-0.1355,-0.0089,-0.1047,-0.1145,0.0162,-0.1418,-0.2336,0.0555,-0.1249,0.0824,0.0387,0.1176,-0.078,-0.4665,0.0921,-0.2218
148,ITC,-0.0241,0.0119,0.084,0.0518,-0.0469,0.005,0.0204,0.0802,-0.0642,0.011,-0.0424,0.0772,0.0061,0,-0.0061,-0.0565,0.0388,-0.0934,-0.1651,0.301,-0.2244,-0.0469,-0.1215,-0.1476,0.0676,-0.1718,-0.1451,-0.2782,-0.0819,,,,,,,
149,ITD,0.0437,-0.0978,0.118,0.1191,-0.0227,0.015,0.1059,0.1185,0,0.1891,-0.0193,-0.0185,0.0865,0.2027,-0.0229,-0.0991,-0.0088,-0.1987,-0.0566,0.085,-0.0339,-0.07,-0.1341,0,-0.1207,,,,,,,,,,,
150,JVC,0.0539,-0.0539,-0.0772,0.0653,-0.1642,-0.1814,-0.4125,-0.041,0.1472,0.0053,0.0505,-0.1028,0.0024,-0.0093,0.0189,-0.0711,0.0476,0.0092,-0.1714,0.1714,0.0709,0.1231,,,,,,,,,,,,,,
151,KAC,0.3174,-0.0364,-0.1389,0.1047,-0.1395,-0.0187,-0.0223,0.0915,-0.06,-0.1284,-0.0523,0.1624,0.1874,-0.0458,-0.058,-0.0314,-0.1958,0.0334,0.1057,-0.1671,-0.0538,-0.062,-0.122,0.0106,-0.1195,,,,,,,,,,,
152,KBC,-0.1054,-0.0074,0.1081,0.068,-0.0865,-0.043,0.0055,0,-0.032,0.2067,-0.028,0.0198,0.0563,0.128,0.0256,-0.1761,0.2398,-0.2484,-0.2052,0.1451,-0.1145,0.0617,-0.2556,-0.1953,0.0658,-0.0478,-0.2243,0.0111,,,,,,,,
153,KDC,0.0071,0.099,0.0409,0.0736,-0.021,-0.3175,0.0414,-0.0249,-0.1098,0.0185,0.0115,-0.0039,0.0488,0.0158,0.0136,0.015,0.1552,-0.0817,-0.0629,0.1641,-0.0446,0.0432,-0.1217,-0.1329,0.0161,0.0083,-0.1068,0.0375,-0.1713,0.2846,0.1935,0.0392,-0.0921,-0.243,-0.3047,-0.1614
154,KDH,-0.0319,-0.0392,0.0057,0.0376,0.0169,-0.0311,0.0247,-0.0247,0.0376,-0.0065,0.1067,0.0683,0.1009,0.0656,0.05,-0.0105,-0.1364,-0.1125,-0.1168,0.0205,-0.2424,-0.0432,-0.0459,-0.0542,-0.017,-0.0127,-0.0555,,,,,,,,,
155,KHA,-0.0133,-0.0254,0.073,0.0121,0.0414,0.0262,-0.0824,0.0561,0.1361,0.0146,-0.0346,0.0935,0.1225,0.0334,0.0287,-0.0037,0.0851,-0.0132,-0.0531,0.094,-0.0232,-0.0134,-0.0458,-0.1839,-0.0557,-0.1064,-0.0106,0.0381,-0.1173,0.1154,0.2034,0.0615,0.0035,0.0252,-0.1597,-0.2193
156,KHP,0.0019,0.0483,-0.0288,-0.0157,-0.0609,0.024,-0.0436,-0.0095,-0.0093,0.0156,-0.0335,0.0768,-0.0172,0.0137,0.0438,0.0846,0.0547,0,-0.0257,0.0587,0.0175,-0.0232,-0.082,-0.0358,-0.021,-0.0751,-0.0395,0.0063,-0.3074,0.2156,0.1215,0.1038,-0.0645,-0.0528,-0.1728,-0.2478
157,KMR,0.0042,-0.0364,-0.0442,0.2242,-0.122,-0.1091,0.1091,-0.1227,-0.0902,0.0642,0.0395,-0.0458,0.1639,0.2499,0.0512,-0.1112,0.06,-0.1597,-0.081,0.1406,-0.1498,0,-0.0263,-0.1732,-0.0223,-0.1538,-0.1163,0.094,-0.1167,0.1095,0.2351,0.0878,-0.1287,-0.5643,,
158,KPF,0.2263,-0.1305,0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,KSA,0.0271,-0.1549,-0.4771,0.0378,0.1069,-0.0908,-0.145,-0.1085,-0.1329,0.2021,-0.0646,-0.0091,0.0091,0.081,-0.081,-0.0481,0.0084,-0.0944,-0.1981,0.6152,-0.378,-0.0589,-0.2403,-0.2358,-0.068,-0.0847,,,,,,,,,,
160,KSB,-0.0006,-0.0451,0.1915,0.1578,0.0143,0.0763,-0.0906,0.0617,-0.0015,0.032,0,-0.0063,0.1403,0.0477,-0.0645,0.0322,0.0136,-0.0113,-0.1387,-0.1755,-0.1012,0.1224,-0.1862,-0.0252,0.0252,-0.0621,-0.022,0.0841,,,,,,,,
161,KSH,0.1761,-0.1963,-0.2374,-0.083,-0.0615,-0.139,-0.0762,-0.1136,-0.0642,0.3538,-0.1116,0.1508,-0.0081,-0.1001,0.0921,-0.1047,0.0389,-0.1283,-0.2358,0.3779,-0.5636,0.1359,-0.3338,0.0123,-0.0969,-0.0858,-0.0716,0.1475,-0.2759,0.6276,0.1505,-0.0152,,,,
162,L10,0.0255,0,-0.0469,0.016,-0.016,0.027,-0.011,0.0166,0.0383,0.0031,-0.0271,-0.0336,0.1982,0.0401,-0.0183,0.0136,0.1406,-0.112,-0.0849,0.1969,-0.112,-0.0423,-0.1101,-0.2335,-0.0727,-0.1778,0.2043,0.1094,-0.1308,0.1805,0.1456,0.0385,-0.0529,-0.0309,-0.207,-0.3172
163,LAF,0.0419,-0.0589,-0.0033,0,-0.0163,0.0196,-0.0259,0.0259,-0.0414,0.0762,0.1015,-0.0223,0.2218,0.0792,0.0269,0,0.0189,-0.2101,-0.3099,-0.0282,0.0027,-0.0055,-0.0512,-0.1285,0.0637,-0.0183,-0.0929,0.2061,-0.1726,0.308,-0.0207,0.115,-0.1183,-0.1648,-0.0734,-0.3106
164,LBM,-0.0941,0.0813,0.1473,0.0603,0.0286,0.1521,0.0201,0.0272,0.0031,-0.0062,0.0062,-0.0391,0.0267,0.0519,0.096,-0.0085,0.0586,-0.0142,-0.0401,0.1957,-0.0563,0.0367,-0.0596,-0.1571,-0.0263,-0.1472,-0.056,0.1027,-0.1139,0.1257,0.0538,-0.0567,-0.179,-0.0154,0.0993,-0.2427
165,LCG,-0.0045,-0.0159,-0.0414,-0.0078,-0.1031,-0.0296,0.0058,-0.0334,-0.0553,0.0773,0.0292,0.0649,0.0764,-0.0164,-0.0158,-0.1761,0.1114,-0.1999,-0.127,0.1905,-0.1475,0.0035,-0.308,-0.1091,0.0349,-0.1296,-0.2868,0.0348,-0.0822,0.1913,0.0724,0.0737,,,,
166,LCM,0.0381,-0.138,-0.1761,0.1526,0.0235,-0.1249,-0.0177,-0.2833,-0.0969,0,-0.0607,0.0128,0.0065,-0.0613,-0.202,-0.1019,-0.0483,-0.0526,-0.1857,-0.0898,0.0322,,,,,,,,,,,,,,,
167,LDG,0.1018,-0.2442,-0.0092,-0.0792,-0.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
